Channel_ID,Keyword,Channel_Name,Subscribers,Total_Views,Total_Videos,Comment_Count,Account_Age_Years,Description,PublishedAt,Country,Custom_URL,Keywords,Profile_Country,Playlist_ID,Topic_Categories,Banner_Image,Default_Language,Popularity_Label
UCB946imKTxtCre8G8nuBKiw,Indian vlogger, Indian vlogger ,31800,554519,105,491,0.0,"Welcome to My new channel Indian vlogger main ek housewife hun
yahan per main apne daily routine vlog share Karti hun mujhe Apne daily routine ke vlog banana achcha lagta hai 

",2022-09-17T17:06:17.113792Z,IN,,"""Indian vlogger"" ""pushpa chandra blog"" ""Rupa vlogger"" ""Ruby Dixit"" ""Femily vlog"" ""Daily routine"" ""Morning routine"" ""early morning routine"" ""Village vlog"" ""Hindi vlog"" ""Ghar ka vlog"" ""Deep cleaning vlogs"" ""My daily routine"" ""morning cleaning vlog indian"" ""morning cleaning vlog"" ""5am morning routines mom"" ""Cleaning motivation"" ""5am morning routine"" ""Saf safai"" ""Gahr ki safai"" ""House cleaning vlogs"" ""himank family vlogs""",IN,UUB946imKTxtCre8G8nuBKiw,"https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Food",,N/A,Low
UC47uCN0OE3sKgUDICJ5O3bA,Indian vlogger,The Indian Vlogger Tina,13300,1669693,1376,1,11.64,"This video shows a story of how a housewife spend her daily life in a middle class family, attends all her day to day work from morning to night. Her efforts bring up smiles on the faces of her little child and other family member, for whom she is the medium to celebrate their special moment.

ଏହି ଭିଡିଓରେ ଜଣେ ଗୃହିଣୀ କିପରି ମଧ୍ୟବିତ୍ତ ପରିବାରରେ ନିଜର ଦ daily ନନ୍ଦିନ ଜୀବନ ଅତିବାହିତ କରନ୍ତି, ସକାଳରୁ ରାତି ପର୍ଯ୍ୟନ୍ତ ଦିନସାରା କାର୍ଯ୍ୟରେ ଯୋଗ ଦିଅନ୍ତି ତାହାର ଏକ କାହାଣୀ ଦର୍ଶାଯାଇଛି | ତାଙ୍କର ଏହି ପ୍ରୟାସ ତାଙ୍କ ଛୋଟ ପିଲା ଏବଂ ପରିବାରର ଅନ୍ୟ ସଦସ୍ୟଙ୍କ ମୁହଁରେ ହସ ଫୁଟାଇଥାଏ, ଯାହାଙ୍କ ପାଇଁ ସେ ସେମାନଙ୍କର ବିଶେଷ ମୁହୂର୍ତ୍ତକୁ ପାଳନ କରିବାର ମାଧ୍ୟମ |

এই ভিডিওতে একটি গৃহবধূর মধ্যবিত্ত পরিবারে কীভাবে তার প্রতিদিনের জীবন কাটাচ্ছে, তার সকাল থেকে রাত অবধি সমস্ত কাজে অংশ নেওয়া একটি গল্প দেখায়। তার প্রচেষ্টা তার ছোট শিশু এবং পরিবারের অন্য সদস্যের মুখে হাসি এনে দেয়, যার জন্য তিনি তাদের বিশেষ মুহূর্তটি উদযাপনের মাধ্যম।",2014-03-04T17:06:32Z,IN,,"""Indian Blogger Tina"" ""Odia blog"" ""Bengali Blog"" ""Odia vlog"" ""Bangla vlog"" ""bengali vlog"" ""Indian Vlogger Tina"" ""the indian vlogger tina""",IN,UU47uCN0OE3sKgUDICJ5O3bA,https://en.wikipedia.org/wiki/Lifestyle_(sociology),,N/A,Low
UC_VPwgdFp4nfDP8qXpVt-wA,Indian vlogger,Indian vlogger ,619,165809,379,0,0.0,All types ,2020-07-20T16:14:44.333245Z,IN,,,,UU_VPwgdFp4nfDP8qXpVt-wA,"https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Food",,N/A,Low
UCLvCUXIYOT0M8xv1nVfbieQ,Indian vlogger,Indian home vlogs with Rajni,98000,27037736,1685,385,6.5,"I will share my daily life with you..some delicious recipes related to uttarakhand vyanjan & indian recipes,some useful tips related to health,kitchen,home.i'll include all possible content which is useful in our daily life.
500 subscribers-12th august 2019
1000 subscribers-28th august 2019
5000 subscribers-12th december 2019
10000 subscribers-4 feb 2020
50000 subscribers- 16 june 2021
90000 subscribers- 29 sept 2023
",2019-04-26T14:56:04Z,IN,,"""Indian Home Vlogs With Rajni"" ""Rajni Rawat"" ""Dehradun vlogger"" ""Pithoragarh city"" ""City Pithoragarh"" ""Kumauni recipes"" ""Kumauni vlogger"" ""Haldwani vlogger"" ""Haldwani city"" Rajni ""Home vlogs"" ""Indian home vlogs"" ""Uttarakhand vlogs"" ""Health tips"" ""Hindi vlogs"" ""Routine vlogs"" ""Morning routine"" ""Kitchen organization"" ""Cleaning vlogs"" ""House cleaning"" ""Home organization"" ""House makeover"" ""House tour"" ""1bhk house tour""",IN,UULvCUXIYOT0M8xv1nVfbieQ,"https://en.wikipedia.org/wiki/Food, https://en.wikipedia.org/wiki/Lifestyle_(sociology)",,N/A,Low
UC93IRgju_ivFOj8RseTBV8g,Indian vlogger,Real Homemaking,156000,53089370,1271,255,7.97,"Hi! Priya here. I want to spread happiness with what I do. This channel is a complete guide to Indians in the USA. You'll find delicious and quick Indian food recipes, Indian lifestyle in the USA (Chicago), budget home organization, and productivity vlogs on this channel. 
I want to make videos that not only make my viewers happy but also add value to their lives. If that sounds good to you, please give this channel a try by clicking on the subscribe button!

This will not cost you anything but it means a lot to me :-)

For business inquiries, please contact me at: priyanshul2016@gmail.com
",2017-11-05T06:06:26Z,US,,"""indian mom vlogger"" ""indian mom vlogger in usa"" ""indian mom routine"" ""indian vlogger"" ""nri vlogger"" ""indians lifestyle in chicago"" ""real homemaking chicago"" ""SAHM vlogger"" ""family vlogs""",US,UU93IRgju_ivFOj8RseTBV8g,"https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Food",,N/A,Medium
UCRxTfzYd6P4CcJVpSpqi0GQ,Indian vlogger,Indian Vlogger Gita,4770,981609,576,59,0.0,"Hi everyone welcome to my channel.I am Gita from Nadia, West Bengal,I present my daly life style & vlog,funny short,recipe video, traveling video,plz support our channel...
Thank you for visiting my channel ♥️♥️🙏🙏 Gita ",2022-08-13T07:52:48.898952Z,IN,,"Vloggein Travelling Cooking ""Indian Vlogger Gita"" ""Indian Vlogger"" Gita gita",IN,UURxTfzYd6P4CcJVpSpqi0GQ,"https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Food",,bn,Low
UCk-gupTntnNS6zwkmIIpq_A,Indian vlogger,Indian Vlogger Anand,1850,387430,198,11,8.3,"Hii Frndz this is anand and make basic vlogs and comedy vedios                                                  
                                                                                                                                                                                                                                                       f you have enjoyed watching this video and want me to make more such vedioes than dont forget to like and share. Also u can COMMENT below 

information provided on this channal is for general purposes only and should not be considered as professional advice. all content published on this channel is my own creative wrok and protect under copyright law and in case you need to use my content for any purpose please write to me : anand.dit006@gmal",2017-07-06T18:45:56Z,IN,,,,UUk-gupTntnNS6zwkmIIpq_A,"https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Music_of_Asia, https://en.wikipedia.org/wiki/Music",,N/A,Low
UC3Hhf7wwrrYFjugtlxEGXaA,Indian vlogger,Kiran  Family Vlog,13100,1905570,424,409,0.0,"🧿🔱HAR HAR MAHADEV 🙏

ਜੀਵਨ ਦਾ ਮਤਬਲ ਖੁਦ ਨੂੰ ਲੱਭਣਾ ਨਹੀਂ ਬਲਕਿ ਖੁਦ ਨੂੰ ਕਾਮਜ਼ਾਬ ਕਰਨਾ💯

                 ❣️SUPPORT ME ❣️
                         🎯Target 50k Family 

✨SAPNA HAI KUCH KAR DIKHAN DA✨
🤝Hello My YouTube Family 🤗
🙋🏼‍♀️Mai Patiala Punjab to Belong Kardi a
🙋🏼‍♀️Mai Ek Single 👱🏻‍♀️Mother A Mera Ek 👦🏻Beta Hai 
🙋🏼‍♀️Mai Es Channel te Apni RealLifestyle,cooking,knowledgeable video,home remedies ,feshion, etc,Share Kardi A. 
💁🏻‍♀️Je Thonu meri vdos ❤️vadia lagde A tan please 🙏🏻 Mere Channel Nu Support kro🥰

👍🏻 LIKE
🤷‍♀️SHARE
❤️COMMENT 

                   💁🏻‍♀️Language 🥰
                     👉🏻Punjabi 
                       👉🏻Hindi

INSTAGRAM 👉🏻 thekaur64
Facebook 👉🏻Kaur Jeet
🫰🏻Thanks For All Watching Me ❣️
  
👉🏻For Businesses Enquiries dm me on Instagram @thekaur64
",2021-09-03T03:26:11.215696Z,IN,,"""Daily vlogs"" ""Punjabi vlogs"" ""Kaur Lifestyle"" ""Lifestyle video"" Trending Cooking Lifestyle Vlog ""Punjabi vlogger"" ""Pind Punjab de"" ""Punjabi lifestyle vlog"" ""Punjabi vlogger"" ""Indian vlogs"" ""Desi vlogs"" ""Daily life vlog"" ""Single mom vlog"" ""Punjabi family vlog"" ""Punjabi video"" ""Indian vlogger"" Cristiano ""Mr mrs gill"" ""PUNJABI VLOGGER"" ""Kaur lifestyle vlog"" ""Kamal patiala to""",IN,UU3Hhf7wwrrYFjugtlxEGXaA,"https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Food",,N/A,Low
UCL2vb63PBxINO8IQgEDmUzw,Indian vlogger,Muskan vlogger ,2360,70102,85,127,0.0,"👍insta I'd...mk_muskan147 🫶..❤️Hello My YouTube Family ❤️
💁My Name Muskan 
💁Mai Punjab Patiala to Belong Kardi A
💁Mere 3 Bache A
💁Mai Es Channel Te Apna Lifestyle Ghar De Kam Share Kardi A
💁I Hope thonu Mere vdos Vadia Lagan ge 
💁Mainu Thode Saath d Pyar d Bahut Lod Hai
Please Sare Support Kareo 
❤️Fb.....Muskan Kamboj Kamboj joshan(Baljeet kaur)👍
🫶Instagram... officialbaljeet_kaur 🙋I'd..https://www.youtube.com/@Indianvlogger-v9f
LIKE 👍
SHARE🙋
COMMENT 🫰
SUBSCRIBE ♥️

🙏THANKS FOR ALL LOVE AND SUPPORT 🙏",2024-05-27T14:46:13.10898Z,IN,,,,UUL2vb63PBxINO8IQgEDmUzw,"https://en.wikipedia.org/wiki/Lifestyle_(sociology), https://en.wikipedia.org/wiki/Food",,N/A,Low
UCVUcE8tBdVV5v1R90etUWlQ,Indian vlogger,Indian Vlogger Deepisha ,927,893059,102,3,0.0,https://www.youtube.com/@IndianVloggerDeepisha,2025-01-22T03:19:59.175197Z,IN,,,IN,UUVUcE8tBdVV5v1R90etUWlQ,"https://en.wikipedia.org/wiki/Food, https://en.wikipedia.org/wiki/Lifestyle_(sociology)",,N/A,Low
